  PLAYER TEAM AGE GP W L MIN OFFRTG DEFRTG NETRTG AST% AST/TO AST RATIO OREB% DREB% REB% TO RATIO EFG% TS% USG% PACE PIE POSS
90 Kentavious Caldwell-Pope DEN 31 62 44 18 31.6 121.7 111.2 10.5 9.0 2.48 20.5 1.4 5.9 3.7 8.2 54.5 58.7 12.8 98.09 6.0 4014
90 Kevon Looney GSW 28 62 33 29 16.9 115.2 116.9 -1.7 15.5 2.80 31.3 11.5 22.3 16.8 11.2 59.9 62.0 10.6 100.26 9.8 2195
90 Mike Conley MIN 36 62 44 18 28.9 113.7 107.3 6.5 29.3 5.28 37.9 1.8 8.2 5.1 7.2 58.7 61.8 14.9 97.56 11.5 3647
90 Pat Connaughton MIL 31 62 40 22 21.8 116.3 117.5 -1.3 11.0 3.08 26.4 2.9 11.8 7.4 8.6 58.7 60.6 10.2 102.13 6.8 2886
90 Spencer Dinwiddie LAL 30 62 27 35 29.1 116.6 116.2 0.4 23.8 4.41 31.6 1.4 7.9 4.6 7.2 47.8 52.7 16.7 99.53 7.8 3737
106 Anthony Black ORL 20 61 34 27 17.9 108.1 108.6 -0.5 11.0 1.67 21.5 2.8 9.7 6.2 12.9 53.5 55.7 12.2 100.22 5.4 2279
106 Brandon Ingram NOP 26 61 37 24 33.2 117.1 112.2 4.9 26.1 2.27 21.8 2.2 13.2 7.8 9.6 53.4 57.9 27.0 98.88 12.8 4175
106 Brandon Miller CHA 21 61 15 46 31.9 108.3 117.3 -9.0 11.6 1.37 12.4 2.6 10.8 6.6 9.0 51.6 54.1 23.0 98.90 8.1 3998
106 Daniel Gafford DAL 25 61 19 42 24.7 113.1 118.3 -5.2 7.1 1.37 13.6 11.0 18.8 14.9 9.9 70.8 72.1 14.3 104.02 11.7 3265
106 Dario Saric GSW 29 61 32 29 17.6 113.7 115.1 -1.5 18.8 1.92 22.3 6.3 19.1 12.5 11.6 56.0 59.9 18.9 100.04 11.1 2245
106 Gary Trent Jr. TOR 25 61 22 39 27.5 113.6 117.2 -3.6 7.5 2.33 11.0 1.1 7.9 4.5 4.7 54.0 55.2 18.4 100.11 7.2 3494
106 Herbert Jones NOP 25 61 38 23 29.4 116.7 110.3 6.4 11.0 2.07 20.5 3.6 8.5 6.1 9.9 61.2 64.8 14.2 99.54 7.9 3703
106 Isaiah Hartenstein NYK 25 61 38 23 24.9 118.5 110.4 8.1 11.3 1.97 25.9 13.0 20.3 16.6 13.1 61.8 65.1 10.5 98.61 10.6 3130
106 Jaime Jaquez Jr. MIA 23 61 36 25 29.4 113.0 111.6 1.3 13.1 1.67 17.1 4.2 9.3 6.8 10.3 53.9 57.6 18.3 98.25 8.4 3666
106 Jalen Suggs ORL 22 61 36 25 26.6 112.4 111.3 1.1 13.8 1.34 17.3 2.6 10.0 6.2 12.8 57.3 59.5 19.4 100.21 8.4 3386
106 Jrue Holiday BOS 33 61 48 13 33.1 121.3 110.8 10.5 19.7 2.68 28.4 3.8 11.5 7.9 10.6 58.7 60.5 16.1 99.27 10.0 4161
106 Kawhi Leonard LAC 32 61 39 22 34.3 119.0 110.6 8.4 16.9 2.17 15.2 3.7 13.7 9.0 7.0 58.8 63.0 25.9 98.08 15.6 4277
106 Keegan Murray SAC 23 61 35 26 33.0 116.3 114.8 1.5 6.5 1.87 10.6 3.7 13.0 8.1 5.7 54.9 57.3 17.5 100.57 7.9 4215
106 Kevin Durant PHX 35 61 34 27 37.3 118.4 114.2 4.2 22.4 1.63 17.5 1.6 15.5 9.0 10.8 58.1 63.0 28.6 100.75 15.2 4778
106 Paul George LAC 33 61 39 22 34.2 121.4 112.3 9.1 15.9 1.77 15.2 1.6 13.9 8.0 8.6 56.1 60.1 26.2 97.80 12.2 4248
106 Terance Mann LAC 27 61 39 22 25.4 117.3 115.4 1.9 8.8 2.76 17.9 5.0 8.6 6.9 6.5 56.0 58.8 13.1 97.65 6.6 3151
122 Franz Wagner ORL 22 60 37 23 32.9 112.4 108.3 4.1 19.0 1.85 16.7 3.1 14.2 8.6 9.0 52.4 57.2 25.3 98.63 13.2 4054
122 Fred VanVleet HOU 30 60 31 29 36.8 113.7 110.1 3.5 31.3 4.66 33.2 1.1 8.8 4.9 7.1 52.5 56.8 18.8 99.61 11.8 4590
