IND, PLAYER, TEAM, AGE, GP, W, L, MIN, PTS_OFF_TO, 2ND_PTS, FBPS, PITP, OPP_PTS_OFF_TO OPP_2ND_PTS, OPP_FBPS, OPP_PITP, BLK, BLKA, PF, PFD
143, Jordan Hawkins , NOP, 21, 66, 37, 29, 17.5, 1.2, 0.6, 1.3, 1.2, 5.9, 5.2, 5.4, 17.4, 0.1, 0.3, 1.1, 0.7
143, Kris Dunn , UTA, 30, 66, 25, 41, 18.9, 0.9, 0.6, 0.7, 3.2, 7.1, 5.3, 7.4, 20.0, 0.4, 0.3, 2.0, 0.5
143, Miles Bridges , CHA, 26, 66, 16, 50, 37.9, 3.2, 2.0, 2.2, 10.3, 12.8, 10.8, 11.1, 42.0, 0.5, 0.9, 1.7, 2.5
143, Russell Westbrook , LAC, 35, 66, 44, 22, 22.4, 1.6, 1.5, 2.0, 7.0, 7.5, 7.1, 8.1, 24.3, 0.3, 0.7, 1.8, 1.8
143, Simone Fontecchio , DET, 28, 66, 29, 37, 24.9, 1.5, 1.4, 1.3, 3.3, 8.7, 6.5, 9.2, 27.2, 0.3, 0.5, 1.7, 0.9
143, Tyrese Haliburton , IND, 24, 66, 38, 28, 32.3, 2.6, 1.4, 2.4, 6.4, 9.7, 10.1, 9.3, 40.5, 0.7, 0.8, 1.1, 2.4
143, Tyus Jones , WAS, 27, 66, 11, 55, 29.3, 2.0, 0.7, 2.1, 5.5, 10.1, 10.8, 10.1, 38.6, 0.3, 0.3, 0.7, 0.7
143, Zion Williamson , NOP, 23, 66, 39, 27, 31.4, 3.6, 2.7, 2.9, 17.6, 10.5, 8.6, 9.7, 30.4, 0.7, 1.8, 2.3, 5.2
158, Alec Burks , NYK, 32, 65, 17, 48, 18.5, 1.0, 1.2, 0.9, 1.8, 7.7, 5.4, 5.3, 20.6, 0.2, 0.3, 1.2, 1.9
158, Andrew Nembhard , IND, 24, 65, 39, 26, 24.8, 1.3, 1.0, 1.3, 4.4, 7.8, 7.3, 6.8, 28.1, 0.1, 0.3, 2.1, 1.3
158, Eric Gordon , PHX, 35, 65, 39, 26, 28.0, 1.6, 1.3, 1.2, 3.6, 11.0, 8.9, 8.1, 29.5, 0.4, 0.6, 1.2, 0.9
158, Jae'Sean Tate , HOU, 28, 65, 32, 33, 15.9, 0.6, 0.8, 0.4, 2.6, 4.6, 4.5, 3.6, 15.0, 0.2, 0.3, 2.1, 0.9
158, Jaylin Williams , OKC, 21, 65, 44, 21, 12.9, 0.6, 0.4, 0.2, 1.0, 4.5, 3.7, 3.0, 12.1, 0.4, 0.2, 1.4, 0.8
158, Kelly Oubre Jr. , PHI, 28, 65, 37, 28, 30.4, 2.7, 2.1, 2.9, 7.9, 9.1, 9.0, 10.0, 30.8, 0.6, 1.3, 2.9, 2.6
158, Kenrich Williams , OKC, 29, 65, 45, 20, 15.0, 0.9, 0.6, 0.6, 2.1, 4.9, 4.4, 3.7, 14.4, 0.1, 0.3, 1.5, 0.5
158, Malachi Flynn , DET, 25, 65, 27, 38, 12.4, 1.1, 0.4, 0.7, 1.6, 4.8, 4.1, 3.4, 13.5, 0.1, 0.3, 1.0, 0.8
158, Matisse Thybulle , POR, 27, 65, 18, 47, 22.9, 0.9, 0.7, 1.0, 1.4, 9.0, 7.5, 8.3, 26.0, 0.8, 0.2, 1.4, 0.6
158, Max Christie , LAL, 21, 65, 37, 28, 14.5, 0.6, 0.2, 0.5, 1.4, 5.6, 4.4, 5.3, 15.2, 0.3, 0.3, 0.9, 0.4
158, Miles McBride , NYK, 23, 65, 39, 26, 19.5, 1.6, 1.2, 1.3, 2.1, 6.2, 4.9, 4.9, 18.1, 0.1, 0.3, 1.6, 0.9
158, Naji Marshall , NOP, 26, 65, 40, 25, 19.3, 1.3, 0.8, 1.1, 3.1, 6.0, 5.2, 5.6, 17.9, 0.2, 0.3, 1.4, 1.0
158, Nick Richards , CHA, 26, 65, 13, 52, 26.5, 1.0, 2.8, 0.8, 7.6, 9.5, 7.0, 8.0, 30.0, 1.1, 0.6, 2.6, 2.4
158, Rui Hachimura , LAL, 26, 65, 38, 27, 26.6, 1.9, 1.0, 2.1, 6.7, 8.6, 8.2, 8.2, 29.0, 0.4, 0.6, 1.5, 1.4
158, Zach Collins , SAS, 26, 65, 16, 49, 22.2, 1.3, 1.5, 0.4, 6.3, 9.1, 6.3, 6.8, 25.3, 0.7, 0.6, 3.1, 2.2
173, Al Horford , BOS, 37, 64, 51, 13, 26.9, 0.8, 1.1, 0.8, 3.1, 7.4, 7.0, 6.5, 26.3, 0.9, 0.2, 1.4, 0.5
173, Bruce Brown , TOR, 27, 64, 26, 38, 28.1, 1.6, 1.2, 2.4, 5.9, 10.7, 9.5, 8.5, 35.2, 0.3, 0.6, 2.2, 1.5
173, Devin Booker , PHX, 27, 64, 40, 24, 35.8, 3.2, 1.9, 3.8, 9.1, 13.0, 10.4, 10.2, 36.2, 0.4, 0.7, 3.0, 5.1
173, Duop Reath , POR, 27, 64, 17, 47, 17.9, 1.0, 1.9, 0.7, 4.0, 6.5, 5.6, 6.3, 20.0, 0.5, 0.5, 2.4, 1.3
173, Joe Ingles , ORL, 36, 64, 41, 23, 17.3, 0.5, 0.5, 0.5, 0.8, 5.7, 4.7, 5.2, 17.6, 0.1, 0.1, 1.4, 0.5
173, Kevin Huerter , SAC, 25, 64, 37, 27, 24.4, 1.6, 0.8, 1.7, 3.6, 7.8, 5.7, 5.9, 26.8, 0.4, 0.2, 2.1, 0.7
173, Trayce Jackson-Davis , GSW, 24, 64, 36, 28, 16.2, 1.0, 1.9, 0.6, 6.8, 5.8, 5.0, 4.5, 16.9, 1.1, 0.6, 1.6, 1.3
173, Walker Kessler , UTA, 22, 64, 26, 38, 23.3, 0.9, 2.3, 0.6, 7.0, 10.0, 7.3, 9.2, 23.5, 2.4, 0.5, 2.1, 1.3
181, Alperen Sengun , HOU, 21, 63, 29, 34, 32.5, 2.8, 3.2, 1.0, 14.7, 9.3, 9.2, 7.3, 31.8, 0.7, 1.2, 3.3, 5.2
181, Ausar Thompson , DET, 21, 63, 10, 53, 25.1, 1.4, 1.4, 1.7, 6.2, 9.8, 6.9, 7.7, 26.3, 0.9, 0.5, 2.8, 1.9
181, Bilal Coulibaly , WAS, 19, 63, 11, 52, 27.2, 1.4, 0.6, 1.7, 3.7, 9.9, 10.0, 8.8, 34.6, 0.8, 0.7, 2.2, 1.6
181, Brandon Ingram , NOP, 26, 63, 38, 25, 33.0, 2.9, 1.4, 1.6, 7.7, 10.6, 8.7, 9.5, 32.1, 0.6, 0.7, 2.3, 3.8
181, Cam Thomas , BKN, 22, 63, 22, 41, 31.3, 2.3, 1.8, 2.2, 8.0, 10.1, 8.9, 11.0, 33.1, 0.2, 1.2, 2.1, 4.1
181, David Roddy , PHX, 23, 63, 23, 40, 18.6, 1.0, 0.9, 1.0, 3.6, 6.9, 5.8, 5.2, 19.4, 0.2, 0.5, 1.1, 0.9
181, Saddiq Bey , ATL, 24, 63, 28, 35, 32.7, 2.3, 3.1, 2.0, 5.3, 11.1, 9.7, 10.9, 38.1, 0.2, 0.8, 1.4, 2.2
188, CJ McCollum , NOP, 32, 62, 39, 23, 32.5, 3.0, 1.7, 3.2, 5.7, 9.6, 8.2, 8.8, 31.3, 0.6, 0.6, 1.9, 1.7
188, Cade Cunningham , DET, 22, 62, 9, 53, 33.5, 2.4, 1.1, 1.9, 9.2, 14.0, 9.0, 9.5, 37.1, 0.4, 1.5, 2.5, 3.1
188, Dario Saric , GSW, 30, 62, 33, 29, 17.4, 0.9, 1.0, 0.4, 3.1, 6.5, 4.4, 5.1, 18.5, 0.1, 0.4, 1.8, 1.5
188, Garrison Mathews , ATL, 27, 62, 29, 33, 14.5, 0.7, 0.5, 0.3, 0.3, 5.5, 4.0, 5.0, 15.0, 0.1, 0.1, 1.8, 1.0
188, Haywood Highsmith , MIA, 27, 62, 36, 26, 20.3, 1.0, 0.7, 0.9, 2.1, 7.2, 5.8, 5.8, 19.2, 0.5, 0.2, 1.7, 0.6
188, Moses Moody , GSW, 21, 62, 35, 27, 17.7, 1.3, 1.5, 1.0, 3.4, 6.1, 4.5, 5.9, 17.5, 0.4, 0.5, 1.4, 1.2
194, Doug McDermott , IND, 32, 61, 20, 41, 14.3, 0.7, 0.8, 0.7, 0.7, 4.8, 4.6, 4.4, 15.7, 0.0, 0.1, 1.0, 0.2
194, Dwight Powell , DAL, 32, 61, 38, 23, 12.9, 0.5, 0.9, 0.1, 2.2, 4.0, 4.1, 4.3, 13.3, 0.3, 0.2, 1.8, 1.7
194, Sam Merrill , CLE, 27, 61, 36, 25, 17.5, 1.3, 0.9, 0.9, 0.5, 6.2, 4.2, 5.3, 17.0, 0.1, 0.2, 1.2, 0.8
194, Santi Aldama , MEM, 23, 61, 23, 38, 26.5, 1.2, 1.3, 1.1, 4.4, 10.0, 7.8, 8.2, 26.1, 0.9, 0.4, 1.5, 1.4
194, Terry Rozier , MIA, 30, 61, 22, 39, 33.4, 2.8, 1.6, 2.4, 7.2, 10.9, 9.5, 10.1, 34.2, 0.3, 1.0, 1.7, 2.9
199, Caleb Martin , MIA, 28, 60, 33, 27, 27.3, 1.1, 1.4, 1.2, 4.3, 8.3, 7.3, 6.7, 24.2, 0.4, 0.6, 2.0, 1.7
199, Day'Ron Sharpe , BKN, 22, 60, 24, 36, 15.2, 0.8, 2.5, 0.6, 5.4, 5.1, 3.9, 4.5, 14.3, 0.7, 0.5, 2.2, 1.8
199, KJ Martin , PHI, 23, 60, 33, 27, 12.4, 1.1, 0.7, 1.0, 3.0, 4.2, 4.3, 3.3, 13.6, 0.2, 0.5, 1.7, 0.5
199, Karl-Anthony Towns , MIN, 28, 60, 41, 19, 32.8, 3.1, 2.5, 1.1, 10.1, 11.0, 8.5, 8.8, 32.3, 0.7, 1.1, 3.3, 4.3
199, Scottie Barnes , TOR, 22, 60, 22, 38, 34.9, 2.6, 2.8, 3.1, 10.1, 11.4, 10.8, 9.0, 38.8, 1.5, 0.8, 2.0, 3.6
199, Trendon Watford , BKN, 23, 60, 24, 36, 12.8, 0.7, 1.2, 0.8, 4.0, 5.0, 3.7, 4.4, 12.2, 0.3, 0.4, 1.7, 1.1
205, Bennedict Mathurin , IND, 21, 59, 33, 26, 26.1, 2.5, 1.5, 2.3, 6.1, 9.9, 9.0, 7.7, 33.4, 0.2, 1.3, 2.0, 2.8
205, Isaiah Jackson , IND, 22, 59, 36, 23, 12.8, 1.1, 1.6, 0.6, 5.0, 4.7, 4.4, 3.5, 14.8, 1.0, 0.4, 2.3, 1.6
205, JT Thor , CHA, 21, 59, 14, 45, 11.9, 0.4, 0.5, 0.4, 1.3, 4.0, 3.2, 3.2, 12.3, 0.4, 0.3, 0.9, 0.3
205, Jalen Duren , DET, 20, 59, 13, 46, 29.1, 1.5, 3.4, 1.4, 11.3, 12.1, 7.7, 8.4, 32.8, 0.8, 0.8, 3.2, 2.4
205, James Wiseman , DET, 23, 59, 8, 51, 16.6, 1.0, 1.8, 0.8, 5.6, 7.0, 5.5, 5.3, 18.4, 0.6, 0.3, 2.3, 1.2
205, Larry Nance Jr. , NOP, 31, 59, 33, 26, 19.8, 0.8, 1.1, 0.3, 3.5, 6.7, 4.9, 5.6, 18.7, 0.3, 0.3, 1.6, 1.2
205, Luke Kornet , BOS, 28, 59, 46, 13, 15.3, 0.4, 1.7, 0.4, 4.2, 4.3, 4.2, 4.2, 14.7, 1.0, 0.2, 1.2, 1.1
205, Scoot Henderson , POR, 20, 59, 18, 41, 28.0, 1.8, 1.1, 1.6, 5.5, 11.3, 8.4, 10.3, 31.9, 0.2, 0.8, 3.2, 3.3
213, Amen Thompson , HOU, 21, 58, 27, 31, 21.4, 1.5, 1.7, 2.3, 6.8, 7.0, 5.4, 6.0, 21.8, 0.6, 0.6, 2.3, 2.1
213, Goga Bitadze , ORL, 24, 58, 33, 25, 16.1, 0.9, 2.0, 0.2, 4.2, 5.3, 4.4, 4.6, 16.6, 1.2, 0.3, 1.8, 1.3
213, Jalen Smith , IND, 24, 58, 34, 24, 17.3, 1.1, 2.1, 0.9, 5.4, 5.8, 5.6, 5.4, 21.1, 0.6, 0.2, 2.1, 1.7
213, Kris Murray , POR, 23, 58, 12, 46, 20.3, 1.2, 1.0, 1.0, 3.0, 8.2, 5.1, 7.5, 21.0, 0.3, 0.4, 1.3, 0.8
213, Kyle Lowry , PHI, 38, 58, 30, 28, 28.3, 1.2, 0.7, 1.1, 1.8, 9.7, 7.4, 9.0, 27.0, 0.4, 0.3, 2.4, 1.7
218, Blake Wesley , SAS, 21, 57, 16, 41, 13.7, 1.1, 0.5, 1.1, 2.7, 4.7, 4.0, 4.0, 15.0, 0.2, 0.2, 1.4, 0.8
218, Cameron Johnson , BKN, 28, 57, 20, 37, 27.6, 1.8, 1.2, 2.0, 4.0, 7.8, 8.3, 8.8, 27.6, 0.3, 0.6, 1.8, 1.6
218, Chris Duarte , SAC, 26, 57, 34, 23, 12.4, 0.8, 0.6, 0.5, 1.1, 4.8, 2.9, 3.0, 12.5, 0.1, 0.2, 1.4, 0.8
218, Daniel Theis , LAC, 32, 57, 38, 19, 16.7, 0.6, 1.1, 0.6, 4.1, 5.1, 5.2, 5.5, 18.0, 0.8, 0.5, 2.2, 0.9
218, Dyson Daniels , NOP, 21, 57, 31, 26, 22.1, 1.3, 0.7, 0.7, 3.1, 7.1, 6.3, 5.8, 21.3, 0.4, 0.2, 1.7, 0.7
218, Gradey Dick , TOR, 20, 57, 18, 39, 20.6, 1.2, 1.1, 1.6, 2.5, 8.4, 6.9, 7.2, 24.1, 0.0, 0.4, 1.5, 0.8
218, Josh Okogie , PHX, 25, 57, 35, 22, 16.7, 0.9, 1.0, 0.5, 1.9, 6.8, 5.3, 5.1, 17.7, 0.4, 0.3, 1.2, 1.7
218, Nicolas Batum , PHI, 35, 57, 33, 24, 25.4, 0.6, 0.8, 0.2, 1.3, 7.8, 7.2, 7.4, 27.0, 0.6, 0.0, 1.8, 0.4
226, Caleb Houstan , ORL, 21, 56, 30, 26, 14.1, 0.6, 0.3, 0.7, 0.3, 4.8, 3.9, 4.4, 14.1, 0.1, 0.0, 1.1, 0.3
226, Dennis Smith Jr. , BKN, 26, 56, 19, 37, 18.9, 1.3, 1.1, 1.1, 3.8, 5.9, 5.2, 4.9, 17.6, 0.2, 0.4, 2.2, 0.9
226, Jimmy Butler , MIA, 34, 56, 30, 26, 34.1, 3.2, 2.2, 2.6, 9.7, 10.9, 9.4, 9.6, 32.9, 0.3, 1.1, 1.2, 5.3
226, Kristaps Porzingis , BOS, 28, 56, 43, 13, 29.7, 1.8, 2.5, 1.2, 8.7, 8.2, 8.8, 8.9, 28.7, 1.9, 0.3, 2.8, 5.0
226, Kyrie Irving , DAL, 32, 56, 37, 19, 34.9, 3.2, 2.3, 3.6, 9.7, 10.2, 10.2, 10.2, 36.1, 0.4, 0.7, 1.9, 3.1
226, Lonnie Walker IV , BKN, 25, 56, 23, 33, 16.9, 1.8, 0.8, 1.7, 2.7, 6.4, 4.9, 5.4, 17.0, 0.3, 0.4, 1.2, 0.8
226, RJ Barrett , TOR, 23, 56, 26, 30, 31.7, 3.0, 1.7, 4.1, 11.1, 10.6, 9.7, 10.7, 34.9, 0.4, 1.6, 2.2, 3.6
226, Vasilije Micic , CHA, 30, 56, 32, 24, 19.7, 0.9, 0.4, 0.6, 3.1, 7.0, 6.4, 5.4, 20.3, 0.1, 0.6, 1.1, 1.1
234, Bryce McGowens , CHA, 21, 55, 9, 46, 14.9, 0.7, 0.4, 0.9, 2.0, 4.9, 4.4, 3.6, 15.6, 0.1, 0.3, 1.3, 1.2
234, Dalen Terry , CHI, 21, 55, 25, 30, 10.8, 0.6, 0.4, 0.5, 1.4, 3.6, 2.7, 2.7, 9.2, 0.2, 0.1, 1.2, 0.5
234, Darius Garland , CLE, 24, 55, 29, 26, 33.5, 2.4, 1.7, 2.2, 6.8, 12.1, 9.5, 9.5, 32.0, 0.1, 0.9, 1.7, 2.9
234, Dereck Lively II , DAL, 20, 55, 35, 20, 23.5, 0.9, 1.7, 0.9, 8.0, 7.1, 6.4, 8.3, 24.8, 1.4, 0.4, 2.6, 1.4
234, Jalen Johnson , ATL, 22, 55, 27, 28, 33.9, 2.9, 1.8, 2.8, 9.7, 11.3, 9.7, 12.6, 36.9, 0.9, 0.9, 2.4, 2.3
234, Jamal Murray , DEN, 27, 55, 41, 14, 31.9, 2.9, 1.4, 2.0, 6.9, 11.1, 9.1, 9.6, 34.7, 0.6, 0.9, 1.8, 2.8
234, John Konchar , MEM, 28, 55, 18, 37, 21.3, 0.9, 0.6, 0.8, 1.8, 8.5, 5.7, 6.1, 21.9, 0.9, 0.2, 1.4, 0.7
234, Jordan Clarkson , UTA, 31, 55, 22, 33, 30.6, 1.7, 1.9, 1.5, 7.7, 12.2, 9.1, 11.6, 33.0, 0.1, 0.9, 1.5, 2.5
234, Lauri Markkanen , UTA, 26, 55, 22, 33, 33.1, 2.5, 3.2, 2.0, 8.3, 12.8, 9.4, 12.1, 35.9, 0.5, 0.8, 1.8, 4.4
234, Onyeka Okongwu , ATL, 23, 55, 23, 32, 25.5, 1.1, 2.3, 0.4, 7.2, 8.7, 7.5, 8.3, 28.8, 1.1, 0.5, 2.9, 1.7
234, Troy Brown Jr. , DET, 24, 55, 29, 26, 13.3, 0.8, 0.6, 0.5, 0.8, 5.6, 3.6, 3.8, 15.2, 0.0, 0.3, 0.7, 0.5
245, AJ Green , MIL, 24, 54, 33, 21, 10.7, 0.4, 0.4, 0.3, 0.2, 3.4, 3.2, 1.9, 9.7, 0.1, 0.1, 0.9, 0.4
245, Ben Sheppard , IND, 22, 54, 30, 24, 13.8, 0.8, 0.5, 1.0, 1.3, 4.0, 4.1, 4.4, 16.4, 0.0, 0.2, 1.6, 0.4
245, Chris Paul , GSW, 38, 54, 30, 24, 26.4, 1.4, 1.2, 0.3, 1.8, 8.7, 7.9, 6.9, 25.8, 0.1, 0.2, 1.8, 1.1
245, De'Andre Hunter , ATL, 26, 54, 26, 28, 29.3, 2.2, 1.5, 1.5, 4.6, 10.1, 8.7, 9.8, 32.1, 0.3, 0.5, 2.5, 3.4
245, Dean Wade , CLE, 27, 54, 36, 18, 20.5, 0.9, 0.6, 0.7, 0.5, 7.1, 4.6, 5.8, 20.1, 0.5, 0.1, 1.7, 0.7
245, Jerami Grant , POR, 30, 54, 17, 37, 33.9, 3.4, 2.4, 2.2, 7.6, 12.4, 10.1, 11.5, 39.5, 0.6, 1.2, 2.2, 3.9
245, Jonathan Isaac , ORL, 26, 54, 34, 20, 15.3, 1.0, 1.7, 0.5, 3.2, 4.7, 3.3, 4.3, 13.0, 1.2, 0.3, 1.1, 1.2
245, Jordan Goodwin , MEM, 25, 54, 30, 24, 17.5, 1.2, 1.2, 0.6, 2.7, 6.9, 4.2, 4.8, 17.2, 0.3, 0.4, 1.3, 0.8
245, Josh Green , DAL, 23, 54, 31, 23, 26.6, 1.3, 0.6, 2.2, 3.5, 9.2, 8.3, 8.9, 29.0, 0.2, 0.5, 1.9, 1.4
245, Justin Holiday , DEN, 35, 54, 35, 19, 14.8, 0.7, 0.4, 0.7, 0.7, 5.1, 3.9, 4.7, 15.5, 0.2, 0.1, 1.2, 0.2
245, Mo Bamba , PHI, 25, 54, 27, 27, 13.3, 0.6, 1.3, 0.3, 2.5, 3.8, 3.4, 4.8, 12.4, 1.1, 0.2, 1.8, 0.9
245, Trey Lyles , SAC, 28, 54, 32, 22, 20.1, 0.8, 1.3, 0.4, 2.1, 6.8, 4.9, 5.0, 19.2, 0.3, 0.3, 1.5, 1.2
245, Zeke Nnaji , DEN, 23, 54, 38, 16, 9.9, 0.4, 1.0, 0.3, 2.1, 3.7, 3.6, 1.9, 10.0, 0.7, 0.4, 1.4, 1.4
258, Andre Jackson Jr. , MIL, 22, 53, 31, 22, 10.2, 0.3, 0.4, 0.5, 1.1, 3.3, 3.3, 3.0, 11.5, 0.1, 0.1, 1.7, 0.2
258, Bojan Bogdanovic , NYK, 34, 53, 16, 37, 26.6, 1.9, 1.5, 2.3, 4.5, 10.8, 7.7, 7.1, 30.8, 0.1, 0.8, 1.8, 2.1
258, Donovan Mitchell , CLE, 27, 53, 34, 19, 35.3, 4.1, 2.2, 4.6, 8.8, 11.8, 9.8, 10.1, 34.2, 0.5, 1.0, 2.2, 4.3
258, Draymond Green , GSW, 34, 53, 32, 21, 26.8, 1.1, 1.1, 0.5, 4.9, 9.2, 6.9, 8.4, 26.1, 0.8, 0.3, 3.0, 2.2
258, Keita Bates-Diop , BKN, 28, 53, 29, 24, 12.5, 0.4, 0.5, 0.5, 1.8, 4.7, 3.1, 3.9, 12.5, 0.4, 0.3, 0.7, 0.5
258, Keon Ellis , SAC, 24, 53, 32, 21, 16.3, 0.7, 0.4, 1.1, 0.9, 5.3, 3.4, 3.5, 16.2, 0.5, 0.1, 1.9, 0.8
258, Trey Murphy III , NOP, 23, 53, 32, 21, 28.9, 2.1, 1.3, 2.8, 3.5, 8.5, 6.9, 7.8, 27.8, 0.5, 0.3, 1.2, 1.7
265, Dante Exum , DAL, 28, 52, 34, 18, 20.0, 1.2, 0.7, 1.2, 4.0, 5.3, 5.7, 5.9, 20.2, 0.1, 0.3, 1.6, 1.5
265, Deandre Ayton , POR, 25, 52, 14, 38, 32.5, 2.3, 3.7, 0.9, 11.4, 12.9, 8.8, 11.0, 36.8, 0.8, 0.7, 2.0, 1.5
265, Jock Landale , HOU, 28, 52, 25, 27, 12.7, 0.7, 1.4, 0.3, 3.0, 4.4, 3.5, 3.5, 12.3, 0.5, 0.4, 1.3, 1.0
265, Jordan McLaughlin , MIN, 27, 52, 33, 19, 10.9, 0.9, 0.5, 0.3, 0.7, 3.0, 2.6, 2.9, 9.7, 0.1, 0.1, 0.6, 0.5
265, Jose Alvarado , NOP, 25, 52, 35, 17, 17.9, 1.2, 1.2, 0.9, 2.2, 5.8, 4.8, 5.2, 16.5, 0.3, 0.4, 1.5, 0.8
265, Kessler Edwards , SAC, 23, 52, 31, 21, 5.0, 0.4, 0.4, 0.2, 0.5, 1.8, 1.0, 1.3, 4.6, 0.1, 0.1, 0.5, 0.3
265, Khris Middleton , MIL, 32, 52, 30, 22, 26.9, 1.6, 1.6, 1.3, 4.0, 7.9, 8.3, 7.4, 28.2, 0.3, 0.4, 2.6, 2.0
265, Oshae Brissett , BOS, 25, 52, 44, 8, 11.4, 0.6, 0.8, 0.6, 1.8, 3.3, 2.9, 3.3, 12.3, 0.1, 0.1, 1.0, 1.0
265, Vince Williams Jr. , MEM, 23, 52, 18, 34, 27.6, 1.9, 1.5, 1.3, 3.3, 9.9, 7.9, 7.9, 28.8, 0.7, 0.4, 2.6, 2.6
274, Dalano Banton , POR, 24, 51, 24, 27, 18.4, 1.4, 1.1, 2.2, 4.8, 7.4, 5.2, 6.5, 19.1, 0.3, 0.6, 1.2, 1.4
274, Gary Harris , ORL, 29, 51, 34, 17, 23.7, 0.7, 0.5, 0.7, 1.9, 7.4, 6.7, 6.8, 23.5, 0.3, 0.1, 1.7, 0.7
274, Kevin Love , MIA, 35, 51, 28, 23, 17.2, 1.5, 1.6, 0.4, 2.4, 5.5, 3.8, 4.2, 16.9, 0.2, 0.2, 1.8, 1.9
274, Quentin Grimes , DET, 23, 51, 32, 19, 20.1, 1.1, 1.0, 1.7, 1.5, 6.1, 5.7, 6.2, 20.4, 0.1, 0.3, 1.5, 0.7
274, Trae Young , ATL, 25, 51, 22, 29, 36.5, 3.6, 1.3, 2.4, 7.7, 12.3, 11.8, 13.7, 43.6, 0.2, 1.0, 2.1, 6.5
274, Wendell Carter Jr. , ORL, 24, 51, 29, 22, 26.4, 1.3, 2.3, 0.5, 5.6, 9.0, 6.3, 8.3, 24.6, 0.5, 0.4, 2.2, 2.6
274, Ziaire Williams , MEM, 22, 51, 20, 31, 20.3, 1.1, 1.4, 1.0, 3.0, 7.8, 6.4, 6.6, 21.3, 0.2, 0.5, 1.7, 1.5
281, Chris Boucher , TOR, 31, 50, 16, 34, 14.1, 1.0, 1.7, 1.2, 3.1, 4.3, 4.8, 4.1, 14.1, 0.5, 0.3, 1.4, 1.7
281, Christian Wood , LAL, 28, 50, 28, 22, 17.4, 0.7, 0.9, 0.7, 3.3, 6.6, 5.3, 6.0, 17.1, 0.7, 0.2, 1.4, 1.6
281, Jakob Poeltl , TOR, 28, 50, 21, 29, 26.4, 1.3, 2.3, 0.8, 9.6, 8.5, 7.2, 7.4, 27.8, 1.5, 0.7, 3.0, 2.0
281, Marvin Bagley III , WAS, 25, 50, 7, 43, 21.1, 1.8, 3.4, 0.8, 8.8, 7.6, 5.9, 6.3, 24.9, 0.7, 0.8, 1.6, 2.1
281, Xavier Tillman , BOS, 25, 50, 28, 22, 18.6, 0.9, 0.7, 0.3, 3.8, 6.6, 5.3, 5.7, 18.9, 0.8, 0.4, 1.4, 0.8
286, Bradley Beal , PHX, 30, 49, 30, 19, 33.1, 3.0, 1.5, 1.8, 7.8, 12.8, 9.6, 10.7, 34.7, 0.4, 0.7, 2.4, 1.9
286, Craig Porter Jr. , CLE, 24, 49, 29, 20, 13.0, 1.0, 0.5, 0.7, 3.2, 5.4, 2.9, 3.7, 12.3, 0.3, 0.3, 0.8, 1.0
286, Mike Muscala , OKC, 32, 49, 13, 36, 11.5, 0.3, 0.4, 0.1, 1.0, 4.2, 3.2, 3.6, 13.6, 0.3, 0.2, 1.0, 0.6
286, Torrey Craig , CHI, 33, 49, 20, 29, 19.9, 0.7, 0.8, 0.7, 1.7, 5.8, 5.5, 5.3, 19.4, 0.4, 0.2, 2.0, 0.6
290, Danilo Gallinari , MIL, 35, 48, 15, 33, 12.7, 0.5, 0.7, 0.3, 1.4, 4.1, 4.0, 2.9, 14.6, 0.1, 0.1, 1.0, 1.6
290, Gordon Hayward , OKC, 34, 48, 22, 26, 24.5, 2.0, 0.9, 1.5, 4.2, 9.3, 8.0, 7.6, 27.3, 0.3, 0.4, 1.3, 1.9
290, Jordan Nwora , TOR, 25, 48, 14, 34, 13.5, 1.1, 0.8, 1.1, 3.2, 5.5, 4.3, 5.4, 15.8, 0.2, 0.3, 0.9, 0.8
290, Marcus Morris Sr. , CLE, 34, 48, 26, 22, 16.6, 0.9, 1.0, 0.3, 1.4, 5.4, 4.6, 5.8, 17.0, 0.3, 0.1, 1.5, 0.8
290, Nick Smith Jr. , CHA, 19, 48, 8, 40, 13.8, 0.9, 0.4, 0.5, 1.3, 4.7, 3.9, 3.8, 13.9, 0.1, 0.2, 1.1, 0.3
290, Shake Milton , NYK, 27, 48, 32, 16, 12.1, 1.0, 0.6, 0.9, 2.2, 4.3, 3.6, 3.9, 12.3, 0.1, 0.4, 1.1, 0.9
290, Talen Horton-Tucker , UTA, 23, 48, 12, 36, 19.1, 1.2, 0.6, 1.6, 4.3, 7.9, 5.8, 6.1, 19.2, 0.3, 0.5, 1.8, 1.6
290, Tristan Thompson , CLE, 33, 48, 28, 20, 11.2, 0.1, 1.4, 0.1, 2.9, 4.0, 2.7, 3.6, 10.5, 0.3, 0.2, 1.2, 1.1
298, Anthony Gill , WAS, 31, 47, 9, 38, 8.4, 0.6, 0.7, 0.3, 2.3, 2.8, 2.7, 1.7, 8.3, 0.2, 0.2, 0.9, 0.4
298, Cam Reddish , LAL, 24, 47, 27, 20, 20.7, 1.4, 0.5, 1.1, 2.2, 8.4, 6.6, 7.0, 22.1, 0.3, 0.4, 1.3, 0.9
298, Chimezie Metu , DET, 27, 47, 23, 24, 15.4, 1.4, 0.5, 0.9, 3.4, 6.0, 4.2, 4.4, 15.4, 0.3, 0.3, 1.4, 0.9
