IND, PLAYER, TEAM, AGE, GP, W, L, MIN, PTS, FGM, FGA, FG%, 3PM, 3PA, 3P%, FTM, FTA, FT%, OREB, DREB, REB, AST, TOV, STL, BLK, PF, FP, DD2, TD3, plus_minus
338, Noah Clowney , BKN, 19, 20, 9, 11, 13.1, 4.9, 1.8, 3.4, 52.9, 0.5, 1.2, 39.1, 0.9, 1.3, 68.0, 1.0, 2.3, 3.3, 0.7, 0.5, 0.3, 0.4, 1.1, 11.4, 1.0, 0.0, -1.2
339, Bryce McGowens , CHA, 21, 55, 9, 46, 14.9, 4.9, 1.7, 3.8, 44.4, 0.6, 1.7, 33.3, 1.0, 1.3, 76.1, 0.3, 1.5, 1.7, 0.8, 0.5, 0.4, 0.1, 1.3, 9.3, 0.0, 0.0, -3.5
340, Jevon Carter , CHI, 28, 68, 33, 35, 13.6, 4.8, 1.9, 4.9, 38.4, 1.0, 3.1, 33.8, 0.1, 0.1, 57.1, 0.1, 0.7, 0.8, 1.2, 0.5, 0.5, 0.2, 1.0, 9.1, 0.0, 0.0, 0.2
341, Aleksej Pokusevski , CHA, 22, 24, 12, 12, 13.7, 4.8, 1.6, 4.0, 40.6, 0.5, 1.9, 28.9, 1.0, 1.4, 75.8, 0.7, 2.2, 2.9, 1.2, 0.6, 0.5, 0.4, 0.7, 12.3, 0.0, 0.0, -2.8
342, Julian Strawther , DEN, 21, 47, 31, 16, 11.5, 4.8, 1.7, 4.7, 37.1, 0.9, 2.9, 29.7, 0.5, 0.6, 75.9, 0.1, 1.2, 1.3, 1.0, 0.4, 0.4, 0.1, 1.1, 8.9, 0.0, 0.0, -2.1
343, Garrison Mathews , ATL, 27, 62, 29, 33, 14.5, 4.8, 1.5, 3.1, 47.7, 1.3, 2.7, 46.7, 0.5, 0.7, 82.9, 0.2, 1.1, 1.4, 0.5, 0.3, 0.3, 0.1, 1.8, 8.1, 0.0, 0.0, -1.8
344, Jalen Wilson , BKN, 23, 40, 13, 27, 14.5, 4.8, 1.7, 3.8, 43.8, 0.6, 1.6, 34.9, 0.9, 1.1, 81.8, 1.0, 1.7, 2.7, 1.1, 0.5, 0.2, 0.1, 1.0, 10.0, 1.0, 0.0, -0.1
345, DeJon Jarreau , MEM, 26, 9, 2, 7, 16.6, 4.8, 1.9, 5.6, 34.0, 0.4, 1.4, 30.8, 0.6, 1.2, 45.5, 0.9, 4.0, 4.9, 2.9, 1.0, 0.7, 0.2, 1.6, 16.6, 0.0, 0.0, -2.7
346, Josh Okogie , PHX, 25, 57, 35, 22, 16.7, 4.8, 1.5, 3.6, 41.4, 0.5, 1.6, 30.1, 1.3, 1.8, 74.5, 1.3, 1.4, 2.7, 1.1, 0.6, 0.8, 0.4, 1.2, 12.7, 0.0, 0.0, 0.1
347, Kenrich Williams , OKC, 29, 65, 45, 20, 15.0, 4.7, 1.9, 4.0, 47.5, 0.8, 2.1, 39.6, 0.1, 0.2, 50.0, 0.9, 2.1, 3.0, 1.3, 0.4, 0.6, 0.1, 1.5, 12.0, 0.0, 0.0, 2.1
348, Keon Ellis , SAC, 24, 53, 32, 21, 16.3, 4.7, 1.6, 3.6, 44.7, 1.1, 2.6, 40.6, 0.4, 0.6, 71.9, 0.5, 1.6, 2.1, 1.5, 0.6, 0.8, 0.5, 1.9, 12.7, 0.0, 0.0, 1.6
349, Jeff Dowtin Jr. , PHI, 26, 9, 4, 5, 12.5, 4.7, 1.7, 3.0, 55.6, 1.0, 2.0, 50.0, 0.3, 0.3, 100, 0.3, 1.7, 2.0, 2.2, 0.6, 0.6, 0.1, 0.1, 11.8, 0.0, 0.0, 2.0
350, Anthony Black , ORL, 20, 66, 38, 28, 17.2, 4.6, 1.7, 3.7, 45.9, 0.5, 1.4, 38.5, 0.7, 1.2, 61.3, 0.5, 1.6, 2.1, 1.4, 0.8, 0.5, 0.3, 1.6, 10.9, 0.0, 0.0, -0.4
351, Neemias Queta , BOS, 24, 26, 22, 4, 11.4, 4.6, 2.0, 3.2, 61.4, 0.0, 0.0, 0.0, 0.7, 0.9, 70.8, 1.8, 2.3, 4.1, 0.5, 0.4, 0.4, 0.6, 1.8, 12.9, 2.0, 0.0, 4.4
352, Mo Bamba , PHI, 25, 54, 27, 27, 13.3, 4.6, 1.8, 3.6, 49.0, 0.5, 1.2, 39.7, 0.6, 0.9, 66.7, 1.4, 2.9, 4.3, 0.8, 0.7, 0.4, 1.1, 1.8, 14.5, 1.0, 0.0, -1.0
353, Devonte' Graham , SAS, 29, 19, 5, 14, 11.6, 4.5, 1.5, 4.0, 36.8, 0.9, 3.1, 30.5, 0.6, 0.7, 85.7, 0.2, 1.3, 1.5, 1.9, 0.5, 0.5, 0.1, 0.6, 10.3, 0.0, 0.0, 1.1
354, AJ Green , MIL, 24, 54, 33, 21, 10.7, 4.5, 1.5, 3.5, 42.6, 1.2, 3.0, 40.9, 0.3, 0.3, 88.2, 0.2, 1.0, 1.2, 0.6, 0.2, 0.1, 0.1, 0.9, 7.2, 0.0, 0.0, 0.6
355, Shake Milton , NYK, 27, 48, 32, 16, 12.1, 4.5, 1.6, 4.1, 40.5, 0.4, 1.3, 28.1, 0.8, 1.0, 81.6, 0.3, 1.3, 1.6, 1.3, 0.6, 0.4, 0.1, 1.1, 9.2, 0.0, 0.0, -1.0
356, Jock Landale , HOU, 28, 52, 25, 27, 12.7, 4.5, 1.7, 3.4, 50.3, 0.1, 0.6, 22.6, 0.9, 1.1, 78.9, 1.6, 1.5, 3.1, 1.0, 0.5, 0.3, 0.5, 1.3, 11.8, 1.0, 0.0, 2.8
356, Kobe Bufkin , ATL, 20, 13, 8, 5, 11.2, 4.5, 1.8, 4.8, 38.1, 0.6, 2.5, 25.0, 0.2, 0.3, 50.0, 0.2, 1.5, 1.8, 1.8, 0.5, 0.5, 0.3, 0.9, 11.1, 0.0, 0.0, -0.6
358, Kevon Looney , GSW, 28, 71, 41, 30, 16.2, 4.4, 1.8, 3.1, 59.5, 0.0, 0.0, 0.0, 0.7, 1.1, 67.1, 1.9, 3.8, 5.7, 1.8, 0.7, 0.4, 0.3, 2.1, 15.4, 1.0, 0.0, 0.2
359, Jacob Gilyard , BKN, 25, 39, 12, 27, 17.1, 4.4, 1.5, 3.7, 41.1, 1.3, 3.1, 41.8, 0.1, 0.1, 100, 0.2, 0.9, 1.1, 3.4, 0.7, 0.7, 0.1, 0.9, 12.7, 0.0, 0.0, -4.0
360, Caleb Houstan , ORL, 21, 56, 30, 26, 14.1, 4.4, 1.4, 3.6, 39.5, 1.3, 3.3, 38.0, 0.3, 0.4, 79.2, 0.5, 1.0, 1.5, 0.5, 0.3, 0.2, 0.1, 1.1, 7.5, 0.0, 0.0, -0.3
361, Jontay Porter , TOR, 24, 26, 6, 20, 13.8, 4.4, 1.5, 4.0, 38.5, 0.8, 2.3, 33.3, 0.6, 0.7, 83.3, 1.0, 2.2, 3.2, 2.3, 0.8, 0.8, 0.8, 1.3, 15.5, 0.0, 0.0, -2.8
362, Thaddeus Young , PHX, 35, 30, 10, 20, 13.7, 4.4, 2.1, 3.4, 61.2, 0.0, 0.2, 16.7, 0.2, 0.5, 35.7, 1.4, 1.9, 3.3, 1.8, 0.4, 0.7, 0.2, 1.4, 13.2, 0.0, 0.0, -0.8
363, Joe Ingles , ORL, 36, 64, 41, 23, 17.3, 4.4, 1.5, 3.4, 43.3, 1.0, 2.4, 43.2, 0.4, 0.5, 83.9, 0.3, 1.8, 2.1, 3.0, 1.0, 0.7, 0.1, 1.4, 12.5, 0.0, 0.0, 2.5
