PLAYER, TEAM, AGE, HEIGHT, WEIGHT, COLLEGE, COUNTRY, DRAFT_YEAR, DRAFT_ROUND, DRAFT_NUMBER, GP, PTS, REB, AST, NETRTG, OREB%, DREB%, USG%, TS%, AST%
49, Kristaps Porzingis , BOS, 28, 49, 38, 11, 29.5, 20.3, 6.8, 13.3, 51.5, 2.0, 5.3, 37.3, 4.7, 5.4, 85.8, 1.7, 5.3, 6.9, 1.9, 1.6, 0.7, 1.8, 2.8, 37.3, 9.0, 0.0, 8.1
50, Domantas Sabonis , SAC, 27, 70, 41, 29, 35.9, 20.0, 8.0, 13.2, 60.8, 0.4, 1.1, 40.8, 3.5, 4.9, 71.2, 3.5, 10.2, 13.7, 8.3, 3.3, 0.9, 0.6, 3.1, 50.0, 66.0, 24.0, 0.7
51, Scottie Barnes , TOR, 22, 60, 22, 38, 34.9, 19.9, 7.5, 15.7, 47.5, 1.7, 4.9, 34.1, 3.3, 4.2, 78.1, 2.4, 5.9, 8.2, 6.1, 2.8, 1.3, 1.5, 2.0, 44.2, 25.0, 4.0, -2.4
52, Franz Wagner , ORL, 22, 63, 39, 24, 32.7, 19.8, 7.4, 15.4, 48.1, 1.4, 4.8, 29.0, 3.6, 4.3, 84.8, 1.0, 4.4, 5.4, 3.9, 2.0, 1.0, 0.4, 2.4, 34.4, 0.0, 0.0, 2.5
53, Terry Rozier , MIA, 30, 54, 18, 36, 33.9, 19.8, 7.3, 16.5, 44.1, 2.2, 6.6, 33.9, 3.0, 3.5, 86.6, 0.6, 3.6, 4.2, 5.9, 1.8, 1.0, 0.3, 1.7, 35.8, 4.0, 0.0, -5.8
54, Bam Adebayo , MIA, 26, 60, 33, 27, 34.3, 19.7, 7.6, 14.6, 51.9, 0.1, 0.4, 31.8, 4.4, 5.8, 75.3, 2.3, 8.4, 10.7, 3.9, 2.3, 1.1, 1.0, 2.3, 42.3, 37.0, 2.0, -0.1
55, RJ Barrett , TOR, 23, 53, 24, 29, 31.6, 19.5, 7.3, 14.9, 48.8, 1.6, 4.4, 36.9, 3.4, 4.8, 70.9, 0.9, 4.4, 5.3, 3.2, 2.0, 0.5, 0.4, 2.2, 31.4, 1.0, 0.0, -2.3
56, Zach LaVine , CHI, 29, 25, 10, 15, 34.9, 19.5, 6.8, 15.0, 45.2, 2.4, 6.8, 34.9, 3.5, 4.1, 85.4, 0.3, 4.8, 5.2, 3.9, 2.1, 0.8, 0.3, 2.3, 33.0, 1.0, 0.0, -3.7
57, Jalen Green , HOU, 22, 70, 35, 35, 31.3, 19.5, 6.8, 16.0, 42.6, 2.4, 7.1, 33.4, 3.5, 4.3, 80.6, 0.5, 4.5, 5.0, 3.4, 2.2, 0.7, 0.3, 1.3, 31.6, 6.0, 1.0, 0.9
58, Coby White , CHI, 24, 68, 32, 36, 36.6, 19.3, 6.8, 15.2, 44.9, 2.8, 7.2, 38.7, 2.8, 3.4, 83.8, 0.6, 4.1, 4.7, 5.3, 2.2, 0.7, 0.2, 2.4, 33.4, 5.0, 0.0, -0.3
59, Jalen Williams , OKC, 22, 63, 44, 19, 31.6, 19.2, 7.6, 14.0, 54.1, 1.5, 3.3, 44.1, 2.6, 3.2, 81.5, 0.5, 3.5, 4.0, 4.5, 1.7, 1.1, 0.6, 2.6, 34.1, 2.0, 0.0, 5.1
60, Devin Vassell , SAS, 23, 65, 14, 51, 32.8, 19.1, 7.2, 15.2, 47.0, 2.4, 6.4, 37.5, 2.4, 3.0, 80.0, 0.4, 3.4, 3.9, 4.0, 1.6, 1.0, 0.4, 1.1, 32.3, 0.0, 0.0, -4.5
61, CJ McCollum , NOP, 32, 55, 37, 18, 31.5, 18.6, 6.8, 14.8, 46.1, 3.3, 8.0, 41.8, 1.6, 2.0, 79.3, 0.5, 3.6, 4.1, 4.4, 1.6, 1.0, 0.7, 1.9, 33.5, 1.0, 0.0, 3.5
62, Darius Garland , CLE, 24, 47, 26, 21, 33.2, 18.5, 6.7, 14.9, 45.0, 2.3, 6.3, 36.8, 2.8, 3.4, 83.5, 0.5, 2.0, 2.5, 6.2, 3.1, 1.2, 0.1, 1.8, 31.9, 3.0, 0.0, 2.0
63, Collin Sexton , UTA, 25, 71, 29, 42, 26.1, 18.5, 6.4, 13.1, 49.2, 1.7, 4.1, 40.3, 4.0, 4.7, 86.1, 0.9, 1.7, 2.6, 4.8, 2.0, 0.8, 0.2, 1.9, 29.9, 4.0, 0.0, -0.9
64, Bradley Beal , PHX, 30, 42, 26, 16, 33.0, 18.1, 7.1, 14.1, 50.6, 1.6, 4.4, 37.7, 2.3, 2.8, 79.8, 0.9, 3.2, 4.1, 5.1, 2.5, 0.9, 0.4, 2.5, 32.0, 3.0, 0.0, 1.9
65, Nikola Vucevic , CHI, 33, 66, 32, 34, 34.5, 18.1, 7.8, 16.2, 48.1, 1.2, 4.2, 28.3, 1.3, 1.6, 83.0, 2.8, 7.8, 10.5, 3.3, 1.6, 0.7, 0.8, 2.6, 38.6, 40.0, 0.0, -2.1
66, D'Angelo Russell , LAL, 28, 65, 38, 27, 32.1, 18.0, 6.6, 14.0, 46.7, 2.9, 6.8, 42.3, 2.0, 2.5, 80.9, 0.4, 2.6, 3.0, 6.3, 2.0, 0.8, 0.5, 2.1, 33.1, 8.0, 0.0, 1.8
67, Jordan Clarkson , UTA, 31, 54, 22, 32, 30.5, 17.4, 6.2, 15.0, 41.7, 1.7, 5.7, 29.6, 3.2, 3.6, 88.3, 0.9, 2.5, 3.4, 5.0, 2.6, 0.6, 0.1, 1.5, 28.6, 6.0, 1.0, -3.3
68, Klay Thompson , GSW, 34, 67, 33, 34, 29.6, 17.3, 6.1, 14.5, 42.3, 3.4, 8.8, 38.2, 1.7, 1.8, 91.7, 0.5, 2.9, 3.3, 2.2, 1.5, 0.6, 0.4, 1.7, 26.3, 0.0, 0.0, -1.1
69, Tobias Harris , PHI, 31, 62, 36, 26, 34.0, 17.2, 6.7, 13.6, 48.9, 1.2, 3.6, 33.6, 2.7, 3.1, 87.4, 1.1, 5.2, 6.3, 3.2, 1.4, 1.1, 0.6, 1.6, 33.1, 8.0, 0.0, 3.1
70, James Harden , LAC, 34, 63, 40, 23, 34.7, 17.2, 5.1, 11.6, 44.0, 2.7, 6.9, 39.7, 4.3, 4.8, 88.2, 0.5, 4.6, 5.1, 8.5, 2.6, 1.1, 0.9, 1.9, 39.4, 21.0, 2.0, 5.0
71, Myles Turner , IND, 28, 68, 38, 30, 27.3, 17.0, 6.2, 11.9, 51.9, 1.4, 4.1, 34.8, 3.2, 4.2, 77.4, 1.5, 5.4, 7.0, 1.3, 1.4, 0.5, 1.9, 3.1, 33.0, 15.0, 0.0, 2.4
72, Michael Porter Jr. , DEN, 25, 70, 50, 20, 31.8, 17.0, 6.5, 13.3, 49.2, 2.8, 6.9, 40.2, 1.1, 1.4, 82.3, 1.4, 5.7, 7.0, 1.5, 1.1, 0.5, 0.7, 1.9, 30.1, 13.0, 0.0, 5.7
73, Chet Holmgren , OKC, 21, 70, 49, 21, 30.1, 17.0, 6.4, 11.9, 53.6, 1.7, 4.3, 38.4, 2.6, 3.2, 79.7, 1.6, 6.3, 7.9, 2.6, 1.5, 0.7, 2.4, 2.3, 38.1, 22.0, 0.0, 5.2
74, Fred VanVleet , HOU, 30, 63, 34, 29, 36.6, 16.9, 5.6, 13.4, 41.6, 3.1, 7.9, 39.0, 2.6, 3.0, 86.3, 0.4, 3.3, 3.7, 8.2, 1.8, 1.2, 0.8, 2.3, 38.2, 19.0, 0.0, 3.1
75, Jordan Poole , WAS, 24, 69, 13, 56, 29.3, 16.6, 6.0, 14.6, 40.9, 2.2, 6.8, 32.2, 2.5, 2.8, 86.7, 0.4, 2.2, 2.6, 3.9, 2.3, 1.1, 0.3, 3.2, 27.7, 2.0, 0.0, -7.0
