IND, PLAYER, TEAM, AGE, GP, W, L, MIN, OFFRTG, DEFRTG, NETRTG, AST%, AST/TO, AST_RATIO, OREB%, DREB%, REB%, TO_RATIO, EFG%, TS%, USG%, PACE, PIE, POSS
160, Malachi Flynn , DET, 25, 54, 26, 28, 11.3, 105.1, 113.3, -8.1, 21.5, 2.12, 26.3, 1.9, 10.8, 6.2, 12.4, 49.2, 52.1, 16.8, 100.54, 7.5, 1273
160, Marcus Sasser , DET, 23, 54, 8, 46, 16.2, 111.1, 118.2, -7.1, 26.7, 2.93, 28.4, 0.8, 9.1, 4.8, 9.7, 54.5, 56.7, 19.1, 102.86, 9.3, 1877
160, Nick Richards , CHA, 26, 54, 11, 43, 26.3, 105.9, 118.6, -12.7, 4.5, 0.72, 8.9, 10.1, 21.3, 15.6, 12.4, 69.1, 71.7, 13.4, 98.24, 10.9, 2897
160, T.J. McConnell , IND, 31, 54, 29, 25, 17.7, 116.1, 115.1, 1.0, 41.3, 3.69, 37.2, 3.1, 12.7, 7.8, 10.1, 56.3, 57.9, 21.2, 103.93, 15.0, 2070
169, Al Horford , BOS, 37, 53, 41, 12, 26.7, 119.3, 108.6, 10.7, 12.7, 3.78, 27.3, 4.9, 18.6, 12.1, 7.2, 60.6, 61.7, 11.3, 99.32, 10.2, 2928
169, Cade Cunningham , DET, 22, 53, 6, 47, 33.8, 110.4, 118.6, -8.2, 35.1, 2.15, 24.1, 1.5, 11.2, 6.3, 11.3, 50.8, 55.4, 29.1, 100.88, 12.4, 3765
169, Davion Mitchell , SAC, 25, 53, 31, 22, 13.6, 106.2, 115.3, -9.0, 17.3, 3.00, 27.3, 1.2, 6.7, 3.9, 9.1, 54.5, 56.2, 14.0, 101.57, 5.8, 1527
169, Eric Gordon , PHX, 35, 53, 31, 22, 29.5, 116.3, 114.0, 2.3, 10.2, 1.83, 16.1, 1.0, 5.5, 3.5, 8.8, 56.6, 58.2, 16.6, 100.52, 7.1, 3274
169, Jerami Grant , POR, 29, 53, 17, 36, 33.9, 108.0, 117.4, -9.3, 13.9, 1.32, 12.2, 2.0, 8.8, 5.3, 9.3, 51.8, 57.5, 25.6, 98.35, 10.1, 3680
169, Jordan Clarkson , UTA, 31, 53, 22, 31, 30.5, 114.7, 119.6, -4.9, 24.6, 1.91, 20.9, 2.9, 8.4, 5.6, 11.0, 47.0, 52.3, 25.7, 101.08, 9.2, 3406
169, Miles Bridges , CHA, 25, 53, 13, 40, 37.4, 107.4, 118.9, -11.5, 14.3, 1.63, 13.5, 2.5, 18.2, 10.1, 8.3, 52.8, 55.8, 24.2, 99.19, 11.5, 4102
169, Onyeka Okongwu , ATL, 23, 53, 23, 30, 25.8, 118.5, 118.1, 0.4, 7.0, 1.58, 13.8, 10.0, 16.8, 13.3, 8.7, 64.1, 67.5, 13.3, 103.42, 9.4, 2942
169, Santi Aldama , MEM, 23, 53, 20, 33, 25.7, 105.6, 113.4, -7.9, 13.8, 1.87, 16.9, 4.3, 17.0, 10.4, 9.0, 52.3, 53.4, 18.3, 97.98, 10.0, 2776
169, Zion Williamson , NOP, 23, 53, 32, 21, 30.7, 114.6, 111.4, 3.2, 26.5, 2.07, 20.3, 5.7, 12.1, 9.0, 9.8, 58.0, 61.4, 27.6, 102.09, 14.6, 3462
179, Bruce Brown , TOR, 27, 52, 25, 27, 28.1, 118.7, 120.2, -1.5, 11.9, 2.41, 20.1, 3.0, 12.9, 8.0, 8.4, 50.9, 55.4, 15.8, 103.27, 7.5, 3147
179, Caris LeVert , CLE, 29, 52, 32, 20, 28.0, 114.7, 111.5, 3.2, 25.0, 3.07, 24.3, 1.8, 11.4, 6.7, 7.9, 48.0, 51.3, 22.8, 100.12, 10.3, 3046
179, Doug McDermott , IND, 32, 52, 14, 38, 14.7, 109.2, 120.6, -11.5, 10.4, 2.44, 18.4, 1.1, 5.4, 3.2, 7.5, 59.4, 59.6, 14.6, 103.45, 5.4, 1664
179, Dwight Powell , DAL, 32, 52, 30, 22, 14.4, 117.9, 114.1, 3.8, 12.7, 2.62, 31.8, 10.6, 13.5, 12.0, 12.1, 70.6, 73.9, 9.0, 102.51, 8.1, 1594
179, Dyson Daniels , NOP, 20, 52, 30, 22, 21.9, 116.3, 111.2, 5.1, 15.2, 2.62, 29.1, 4.5, 12.0, 8.3, 11.1, 50.0, 51.8, 12.3, 100.38, 7.6, 2369
179, Goga Bitadze , ORL, 24, 52, 27, 25, 17.4, 113.5, 109.3, 4.2, 11.5, 1.88, 21.9, 11.0, 18.7, 14.8, 11.7, 61.1, 63.2, 12.5, 97.55, 11.4, 1837
179, Jaylin Williams , OKC, 21, 52, 37, 15, 12.6, 116.0, 106.2, 9.8, 13.4, 3.40, 25.0, 4.5, 21.2, 13.1, 7.4, 51.7, 54.5, 13.2, 100.97, 9.2, 1385
179, Kenrich Williams , OKC, 29, 52, 38, 14, 14.3, 117.3, 107.2, 10.1, 11.2, 3.25, 23.0, 5.7, 14.2, 10.2, 7.1, 55.2, 54.7, 12.5, 101.45, 7.2, 1559
179, Max Christie , LAL, 21, 52, 28, 24, 15.8, 109.3, 111.3, -2.0, 8.3, 1.58, 17.0, 1.5, 12.2, 7.3, 10.8, 52.0, 55.1, 13.0, 104.18, 6.1, 1790
179, Naji Marshall , NOP, 26, 52, 34, 18, 18.9, 117.0, 107.9, 9.1, 14.4, 1.89, 21.8, 5.0, 13.4, 9.4, 11.5, 54.3, 58.1, 16.2, 101.66, 9.0, 2071
179, RJ Barrett , TOR, 23, 52, 24, 28, 31.5, 113.8, 116.6, -2.8, 14.9, 1.57, 14.1, 2.6, 13.7, 8.1, 9.0, 54.3, 57.5, 25.1, 101.23, 10.5, 3445
179, Rui Hachimura , LAL, 26, 52, 29, 23, 25.5, 115.5, 113.5, 2.0, 5.7, 1.51, 8.9, 3.2, 10.9, 7.3, 5.9, 58.8, 60.7, 18.4, 102.14, 8.7, 2832
179, Tyrese Haliburton , IND, 24, 52, 29, 23, 32.1, 122.3, 117.3, 5.0, 46.9, 4.78, 37.2, 1.8, 9.9, 5.9, 7.8, 57.5, 61.0, 24.4, 104.20, 16.0, 3626
179, Vince Williams Jr. , MEM, 23, 52, 18, 34, 27.6, 108.4, 111.4, -3.0, 17.7, 1.90, 25.0, 3.9, 16.3, 9.9, 13.1, 55.0, 59.7, 15.5, 99.07, 9.6, 2964
179, Walker Kessler , UTA, 22, 52, 25, 27, 23.3, 112.2, 114.5, -2.4, 5.4, 0.87, 10.6, 11.0, 19.3, 15.3, 12.2, 64.9, 64.9, 13.1, 101.18, 11.0, 2558
179, Zach Collins , SAS, 26, 52, 11, 41, 23.3, 106.4, 118.4, -12.0, 19.2, 1.52, 19.7, 7.0, 15.0, 10.9, 13.0, 52.9, 56.0, 21.7, 102.59, 8.8, 2578
195, Amir Coffey , LAC, 26, 51, 36, 15, 18.9, 115.7, 117.5, -1.9, 6.5, 2.23, 16.0, 2.0, 7.7, 4.9, 7.2, 61.9, 65.5, 11.1, 101.74, 6.3, 2053
195, Andrew Nembhard , IND, 24, 51, 30, 21, 23.8, 115.1, 114.5, 0.7, 22.8, 2.57, 30.6, 2.5, 5.9, 4.2, 11.9, 54.6, 56.1, 17.0, 101.87, 7.6, 2568
195, Ivica Zubac , LAC, 26, 51, 32, 19, 26.2, 117.9, 111.4, 6.5, 7.4, 1.15, 12.0, 12.0, 23.0, 17.7, 10.4, 65.6, 66.9, 16.4, 97.47, 12.3, 2719
195, Joe Ingles , ORL, 36, 51, 32, 19, 17.3, 115.1, 111.8, 3.2, 21.3, 3.26, 38.9, 2.0, 10.9, 6.5, 11.9, 56.5, 58.4, 11.3, 99.64, 7.9, 1849
195, Josh Green , DAL, 23, 51, 29, 22, 27.2, 118.0, 119.3, -1.3, 11.2, 2.22, 22.4, 2.6, 9.4, 6.0, 10.1, 58.6, 59.8, 12.9, 101.53, 6.4, 2918
195, Kelly Oubre Jr. , PHI, 28, 51, 29, 22, 29.3, 114.6, 116.2, -1.6, 6.2, 1.14, 7.9, 4.3, 11.4, 7.7, 6.9, 50.2, 53.8, 20.9, 99.74, 7.5, 3096
195, Lauri Markkanen , UTA, 26, 51, 22, 29, 32.9, 118.7, 117.2, 1.5, 9.0, 1.54, 9.4, 6.6, 17.8, 12.2, 6.1, 58.3, 63.4, 23.7, 102.67, 13.5, 3586
195, Miles McBride , NYK, 23, 51, 30, 21, 14.8, 104.7, 109.4, -4.7, 15.3, 3.68, 18.4, 1.9, 5.2, 3.5, 5.0, 54.4, 56.1, 17.6, 96.00, 8.0, 1510
195, Trae Young , ATL, 25, 51, 22, 29, 36.5, 116.3, 118.9, -2.6, 43.3, 2.51, 28.7, 1.1, 6.3, 3.6, 11.4, 51.2, 58.1, 29.2, 104.91, 13.2, 4066
195, Ziaire Williams , MEM, 22, 51, 20, 31, 20.3, 102.5, 112.4, -9.9, 11.8, 1.14, 13.6, 3.1, 13.8, 8.2, 12.0, 47.4, 51.1, 19.2, 100.40, 7.4, 2156
205, Bryce McGowens , CHA, 21, 50, 9, 41, 15.8, 104.6, 116.6, -12.0, 8.4, 1.77, 15.5, 2.0, 9.8, 5.8, 8.8, 53.1, 57.5, 13.8, 99.39, 5.8, 1637
205, Cam Thomas , BKN, 22, 50, 18, 32, 29.8, 111.7, 116.2, -4.5, 14.5, 1.53, 11.4, 1.3, 8.5, 4.7, 7.4, 50.1, 54.7, 29.6, 100.45, 10.0, 3130
205, Chris Boucher , TOR, 31, 50, 16, 34, 14.1, 116.0, 113.6, 2.4, 4.4, 0.82, 7.5, 8.4, 20.2, 14.2, 9.1, 57.8, 62.5, 16.7, 99.35, 10.6, 1456
205, Christian Wood , LAL, 28, 50, 28, 22, 17.4, 109.9, 109.9, 0.0, 7.9, 0.98, 12.1, 4.8, 22.6, 14.4, 12.3, 53.2, 56.8, 17.3, 101.73, 10.1, 1849
205, Devin Booker , PHX, 27, 50, 31, 19, 35.8, 120.2, 114.0, 6.1, 29.7, 2.65, 21.7, 2.1, 10.1, 6.3, 8.2, 55.1, 61.2, 29.3, 100.38, 14.7, 3746
205, Jakob Poeltl , TOR, 28, 50, 21, 29, 26.4, 113.6, 114.2, -0.6, 13.1, 1.65, 20.3, 11.0, 21.4, 16.2, 12.3, 65.6, 65.3, 16.0, 100.54, 11.7, 2763
