IND, PLAYER, GP, W, L, MIN, EST._OFFRTG, EST._DEFRTG, EST._NETRTG, EST._AST_RATIO, EST._OREB%, EST._DREB%, EST._REB%, EST._TO_RATIO, EST._USG%, EST._PACE
93, Tre Jones, 59, 13, 46, 26, 110.9, 113.4, -2.5, 39.0, 2.9, 10.7, 6.9, 9.3, 15.1, 103.80,
93, Stephen Curry, 59, 33, 26, 33, 116.2, 115.7, 0.4, 16.6, 1.7, 12.5, 7.2, 10.0, 31.3, 103.61,
93, Derrick Jones Jr., 59, 33, 26, 24, 114.2, 114.4, -0.2, 10.4, 4.9, 10.9, 7.9, 9.5, 15.0, 103.03,
93, Jaden Ivey, 59, 10, 49, 28, 111.5, 118.5, -7.0, 18.1, 5.0, 9.1, 7.0, 12.2, 24.4, 102.83,
93, Pat Connaughton, 59, 38, 21, 22, 116.0, 117.0, -1.0, 26.8, 3.2, 13.6, 8.4, 8.6, 10.3, 102.67,
93, Keegan Murray, 59, 34, 25, 33, 114.7, 114.2, 0.4, 10.5, 4.2, 14.3, 9.1, 5.5, 17.7, 101.93,
93, Derrick White, 59, 47, 12, 32, 121.5, 107.6, 13.9, 26.7, 2.4, 10.4, 6.7, 8.5, 18.5, 101.79,
93, Gary Trent Jr., 59, 22, 37, 27, 112.7, 115.8, -3.1, 11.0, 1.3, 8.8, 4.9, 4.9, 18.8, 101.49,
93, Anthony Black, 59, 32, 27, 18, 106.8, 107.8, -1.0, 21.6, 3.3, 11.2, 7.2, 13.0, 12.3, 101.27,
93, Immanuel Quickley, 59, 26, 33, 29, 113.5, 112.9, 0.6, 22.2, 0.9, 12.9, 6.9, 6.7, 23.4, 101.09,
93, Jabari Smith Jr., 59, 28, 31, 32, 109.9, 112.3, -2.4, 10.4, 6.5, 21.7, 14.1, 8.4, 17.4, 100.81,
93, Herbert Jones, 59, 37, 22, 29, 116.2, 108.9, 7.4, 19.9, 4.1, 9.4, 6.8, 9.6, 14.6, 100.57,
93, Jarrett Allen, 59, 39, 20, 32, 115.6, 108.3, 7.3, 16.4, 12.2, 25.5, 19.0, 9.9, 19.3, 99.95,
93, Duncan Robinson, 59, 33, 26, 28, 111.7, 110.5, 1.1, 19.4, 0.9, 9.1, 5.0, 9.3, 19.1, 98.91,
93, Nikola Vucevic, 59, 29, 30, 35, 111.0, 112.9, -2.0, 15.2, 9.0, 26.2, 17.4, 7.2, 24.1, 98.88,
93, Jalen Brunson, 59, 36, 23, 35, 117.1, 113.0, 4.1, 20.4, 1.8, 9.8, 5.8, 7.7, 30.5, 98.84,
111, Devin Vassell, 58, 13, 45, 32, 107.1, 114.5, -7.4, 17.8, 1.6, 11.5, 6.5, 7.0, 23.7, 103.97,
111, Jalen Williams, 58, 40, 18, 32, 118.0, 109.6, 8.3, 20.9, 1.9, 11.6, 7.1, 7.9, 23.2, 103.10,
111, Russell Westbrook, 58, 38, 20, 23, 116.5, 112.5, 4.0, 25.6, 6.8, 17.9, 12.4, 11.8, 24.2, 102.94,
111, Jaylen Brown, 58, 44, 14, 33, 119.5, 109.6, 9.9, 14.5, 3.9, 13.3, 8.9, 9.1, 28.4, 101.76,
111, Grayson Allen, 58, 34, 24, 34, 117.5, 113.7, 3.8, 22.1, 2.2, 10.4, 6.6, 9.3, 14.0, 101.68,
111, Jalen Suggs, 58, 33, 25, 27, 110.7, 110.5, 0.2, 17.3, 2.9, 11.5, 7.1, 12.9, 19.7, 101.45,
111, Tobias Harris, 58, 35, 23, 34, 116.4, 111.6, 4.8, 16.3, 3.6, 16.9, 10.2, 7.0, 20.6, 100.77,
111, Jrue Holiday, 58, 45, 13, 33, 119.6, 109.8, 9.8, 27.7, 4.4, 13.1, 9.0, 10.7, 16.6, 100.13,
111, Brandon Ingram, 58, 35, 23, 33, 116.0, 111.2, 4.8, 21.8, 2.4, 14.7, 8.7, 9.8, 27.5, 100.08,
111, Isaiah Hartenstein, 58, 35, 23, 25, 116.4, 110.5, 5.9, 25.3, 15.0, 22.3, 18.7, 13.3, 11.0, 99.97,
111, Drew Eubanks, 58, 31, 27, 16, 106.9, 112.7, -5.8, 14.9, 9.9, 19.5, 14.9, 15.5, 13.7, 99.94,
111, Jaime Jaquez Jr., 58, 34, 24, 29, 112.5, 110.3, 2.2, 17.0, 4.8, 10.7, 7.7, 10.5, 18.9, 99.43,
111, Kentavious Caldwell-Pope, 58, 41, 17, 32, 120.6, 109.9, 10.6, 19.7, 1.6, 6.7, 4.2, 8.1, 13.2, 99.36,
111, Aaron Gordon, 58, 39, 19, 31, 118.3, 110.4, 7.9, 20.0, 8.5, 14.4, 11.5, 9.1, 17.8, 99.21,
111, James Harden, 58, 38, 20, 35, 119.7, 112.2, 7.5, 33.7, 1.7, 14.8, 8.6, 10.5, 21.0, 99.04,
126, Daniel Gafford, 57, 16, 41, 25, 111.6, 116.7, -5.1, 13.9, 11.8, 21.2, 16.5, 10.0, 14.3, 106.06,
126, LeBron James, 57, 31, 26, 35, 114.9, 112.6, 2.3, 25.3, 2.8, 18.7, 11.2, 10.2, 29.1, 102.70,
126, Kevin Durant, 57, 32, 25, 37, 116.9, 112.0, 4.8, 17.5, 1.8, 17.5, 10.2, 10.8, 29.5, 102.37,
126, Keyonte George, 57, 24, 33, 26, 109.9, 117.2, -7.3, 24.9, 1.1, 10.9, 6.0, 11.9, 21.8, 102.33,
126, Jaren Jackson Jr., 57, 19, 38, 32, 104.9, 111.5, -6.6, 8.7, 4.1, 15.7, 9.7, 9.7, 30.5, 101.46,
126, Fred VanVleet, 57, 28, 29, 37, 111.7, 108.8, 2.8, 32.7, 1.2, 9.7, 5.4, 7.0, 19.3, 100.86,
126, Brandon Miller, 57, 14, 43, 32, 107.6, 116.6, -9.1, 11.9, 2.8, 12.2, 7.3, 9.2, 23.5, 100.12,
126, Jabari Walker, 57, 16, 41, 22, 106.4, 116.3, -9.9, 9.3, 10.0, 25.0, 17.0, 9.8, 16.4, 100.04,
126, Franz Wagner, 57, 34, 23, 33, 110.6, 107.0, 3.5, 16.4, 3.4, 15.9, 9.6, 8.8, 26.0, 99.98,
126, Kawhi Leonard, 57, 38, 19, 35, 117.3, 109.1, 8.2, 15.3, 4.2, 15.5, 10.2, 6.9, 26.4, 99.88,
126, Paul George, 57, 38, 19, 34, 120.0, 110.0, 10.0, 14.9, 1.9, 15.6, 9.1, 8.4, 26.8, 99.67,
126, Terance Mann, 57, 38, 19, 25, 117.7, 114.7, 3.0, 18.8, 6.0, 9.3, 7.7, 6.6, 13.3, 98.11,
126, Precious Achiuwa, 57, 28, 29, 23, 112.0, 111.5, 0.5, 13.4, 12.4, 20.1, 16.1, 11.3, 16.7, 97.06,
139, Kris Dunn, 56, 25, 31, 18, 118.1, 116.3, 1.7, 39.4, 4.4, 12.2, 8.3, 12.7, 13.4, 104.47,
139, Victor Wembanyama, 56, 13, 43, 29, 107.4, 112.4, -5.0, 13.7, 8.2, 30.1, 19.3, 13.8, 31.7, 104.06,
139, Aaron Nesmith, 56, 31, 25, 27, 118.3, 115.9, 2.4, 12.1, 3.7, 12.3, 8.0, 7.9, 16.4, 103.69,
139, Julian Champagnie, 56, 11, 45, 17, 110.9, 115.4, -4.5, 17.7, 3.8, 13.3, 8.5, 9.0, 14.6, 103.47,
139, Clint Capela, 56, 26, 30, 25, 113.4, 116.9, -3.5, 9.1, 18.0, 24.5, 21.1, 8.0, 16.7, 103.36,
139, Jaden Hardy, 56, 31, 25, 14, 110.4, 114.3, -3.9, 15.9, 2.0, 12.2, 6.9, 7.5, 24.2, 102.98,
139, Luka Doncic, 56, 33, 23, 38, 118.2, 115.0, 3.2, 23.6, 2.2, 24.1, 13.3, 9.6, 36.2, 102.83,
