IND, PLAYER, TEAM, AGE, GP, W, L, MIN, PTS_OFF_TO, 2ND_PTS, FBPS, PITP, OPP_PTS_OFF_TO, OPP_2ND_PTS, OPP_FBPS, OPP_PITP, BLK, BLKA, PF, PFD
397, Jake LaRavia , MEM, 22, 23, 4, 19, 18.0, 1.0, 0.9, 0.8, 3.0, 8.7, 6.3, 5.5, 17.8, 0.3, 0.4, 1.9, 1.6
400, LaMelo Ball , CHA, 22, 22, 7, 15, 32.3, 3.5, 2.6, 2.3, 9.9, 10.5, 8.6, 10.8, 36.0, 0.2, 0.6, 3.6, 4.1
400, Leaky Black , CHA, 24, 22, 1, 21, 9.9, 0.3, 0.5, 0.8, 0.9, 3.5, 2.5, 3.3, 10.9, 0.3, 0.2, 0.7, 0.5
400, Ricky Council IV , PHI, 22, 22, 8, 14, 9.2, 1.1, 1.2, 1.5, 3.0, 2.8, 2.8, 3.0, 10.5, 0.0, 0.2, 0.5, 1.6
400, Stanley Umude , DET, 24, 22, 4, 18, 11.4, 0.7, 0.1, 0.9, 0.7, 5.3, 2.4, 3.4, 11.7, 0.3, 0.2, 1.5, 0.9
400, Tari Eason , HOU, 22, 22, 12, 10, 21.8, 2.3, 2.0, 2.2, 5.7, 6.4, 6.5, 3.9, 20.4, 0.9, 0.8, 2.3, 1.1
405, Jalen Hood-Schifino , LAL, 20, 21, 10, 11, 5.2, 0.1, 0.0, 0.2, 0.4, 2.0, 1.6, 2.1, 4.7, 0.1, 0.2, 0.6, 0.5
405, Jalen Pickett , DEN, 24, 21, 15, 6, 5.2, 0.4, 0.0, 0.1, 0.3, 1.8, 1.3, 1.2, 4.8, 0.0, 0.0, 0.5, 0.1
405, Mitchell Robinson , NYK, 25, 21, 12, 9, 29.2, 0.8, 3.2, 0.1, 5.5, 10.1, 7.2, 9.8, 29.2, 1.3, 0.5, 1.9, 1.9
405, P.J. Tucker , LAC, 38, 21, 7, 14, 16.2, 0.1, 0.2, 0.4, 0.3, 6.1, 3.7, 7.0, 16.4, 0.3, 0.1, 2.0, 0.5
405, Saben Lee , PHX, 24, 21, 12, 9, 8.5, 0.6, 0.2, 0.9, 1.5, 3.7, 2.0, 2.6, 7.7, 0.1, 0.3, 0.6, 1.2
410, Harry Giles III , LAL, 25, 20, 8, 12, 4.4, 0.5, 0.5, 0.5, 1.7, 1.5, 1.5, 1.8, 4.1, 0.2, 0.1, 0.8, 0.5
410, Marcus Smart , MEM, 30, 20, 7, 13, 30.2, 2.3, 1.3, 1.5, 5.1, 10.9, 8.6, 9.8, 27.5, 0.3, 0.3, 2.7, 2.9
410, Markieff Morris , DAL, 34, 20, 11, 9, 8.4, 0.3, 0.2, 0.2, 0.4, 3.0, 3.2, 3.5, 10.2, 0.1, 0.1, 0.6, 0.4
410, Matt Ryan , NOP, 26, 20, 11, 9, 17.7, 0.9, 1.5, 1.1, 0.4, 7.6, 6.1, 5.3, 19.4, 0.1, 0.1, 1.5, 0.9
410, Ryan Arcidiacono , NYK, 29, 20, 15, 5, 2.3, 0.0, 0.0, 0.0, 0.0, 0.8, 0.7, 0.2, 2.2, 0.0, 0.0, 0.3, 0.1
415, Charles Bassey , SAS, 23, 19, 3, 16, 10.8, 0.0, 0.7, 0.2, 3.1, 4.7, 3.3, 5.1, 11.2, 0.9, 0.1, 1.6, 0.5
415, Colby Jones , SAC, 21, 19, 9, 10, 6.7, 0.0, 0.2, 0.1, 1.7, 2.7, 1.9, 1.5, 5.9, 0.1, 0.2, 0.8, 0.3
415, Collin Gillespie , DEN, 24, 19, 12, 7, 8.5, 0.3, 0.5, 0.1, 0.8, 2.6, 2.1, 1.8, 9.1, 0.0, 0.2, 0.9, 0.4
415, Ibou Badji , POR, 21, 19, 5, 14, 10.8, 0.1, 0.8, 0.1, 1.2, 4.5, 3.7, 3.6, 10.2, 1.1, 0.2, 2.2, 0.6
415, Kira Lewis Jr. , UTA, 22, 19, 10, 9, 8.0, 0.5, 0.0, 0.6, 1.5, 3.0, 2.4, 1.5, 8.2, 0.1, 0.2, 0.5, 0.4
415, Mark Williams , CHA, 22, 19, 7, 12, 26.8, 1.6, 3.5, 0.8, 10.3, 9.4, 8.9, 8.9, 30.6, 1.1, 0.9, 2.6, 2.8
421, AJ Griffin , ATL, 20, 18, 8, 10, 7.4, 0.1, 0.0, 0.4, 0.3, 2.6, 1.6, 2.2, 8.8, 0.1, 0.1, 0.3, 0.1
421, Admiral Schofield , ORL, 26, 18, 11, 7, 3.4, 0.2, 0.2, 0.0, 0.2, 1.6, 1.1, 0.7, 3.6, 0.0, 0.2, 0.4, 0.2
421, Evan Fournier , DET, 31, 18, 6, 12, 16.2, 1.3, 0.8, 1.0, 1.4, 7.4, 4.3, 5.2, 17.7, 0.1, 0.3, 1.7, 0.5
421, Monte Morris , MIN, 28, 18, 11, 7, 13.9, 0.5, 0.6, 0.4, 1.7, 3.5, 3.3, 5.1, 15.2, 0.2, 0.3, 0.3, 0.6
425, Braxton Key , DEN, 27, 17, 12, 5, 3.2, 0.2, 0.0, 0.3, 0.5, 0.9, 0.8, 0.7, 2.8, 0.1, 0.1, 0.3, 0.2
425, Brice Sensabaugh , UTA, 20, 17, 6, 11, 14.6, 0.6, 1.1, 1.0, 2.2, 6.5, 3.6, 6.1, 14.5, 0.0, 0.2, 1.1, 0.6
425, Gui Santos , GSW, 21, 17, 11, 6, 8.7, 0.6, 1.1, 0.6, 1.4, 3.2, 2.2, 3.1, 9.2, 0.1, 0.2, 1.0, 0.6
425, Jamal Cain , MIA, 24, 17, 8, 9, 13.3, 0.6, 0.8, 0.6, 2.0, 5.2, 3.2, 3.8, 14.0, 0.2, 0.2, 1.0, 0.9
425, Jerome Robinson , GSW, 27, 17, 12, 5, 3.8, 0.2, 0.2, 0.2, 0.7, 0.9, 0.4, 1.6, 3.3, 0.2, 0.0, 0.2, 0.4
425, Kenneth Lofton Jr. , UTA, 21, 17, 5, 12, 6.3, 0.4, 0.2, 0.1, 1.3, 2.0, 2.1, 1.7, 6.2, 0.2, 0.4, 0.9, 0.6
425, Theo Maledon , PHX, 22, 17, 5, 12, 12.5, 0.7, 0.4, 0.5, 1.8, 6.4, 3.0, 4.2, 12.0, 0.0, 0.4, 1.2, 1.2
425, Wendell Moore Jr. , MIN, 22, 17, 13, 4, 2.9, 0.2, 0.0, 0.2, 0.6, 1.1, 0.8, 1.2, 3.8, 0.1, 0.0, 0.2, 0.0
433, Chris Livingston , MIL, 20, 16, 10, 6, 4.3, 0.1, 0.1, 0.3, 0.8, 2.1, 1.5, 1.6, 3.9, 0.0, 0.2, 0.7, 0.1
433, Garrett Temple , TOR, 37, 16, 4, 12, 4.3, 0.6, 0.0, 0.7, 0.8, 1.6, 1.6, 1.7, 5.5, 0.0, 0.1, 0.4, 0.3
433, Joe Harris , DET, 32, 16, 4, 12, 10.6, 0.3, 0.4, 0.5, 0.5, 4.7, 4.1, 2.6, 12.3, 0.1, 0.3, 1.2, 0.3
